"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","date","PRCP","PRCP_ATTRIBUTES","avtemp","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-30","0.24",",,S","61","H,,S","72",",,S","48",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-01-31","0.16",",,S","56","H,,S","67",",,S","48",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-01","0.00",",,S","55","H,,S","70",",,S","46",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-02",,,"55","H,,S","69",",,S","45",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-03",,,"58","H,,S","71",",,S","45",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-04",,,"57","H,,S","71",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-05",,,"60","H,,S","74",",,S","46",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-06",,,"59","H,,S","72",",,S","45",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-07",,,"59","H,,S","71",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-08",,,"56","H,,S","71",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-09",,,"58","H,,S","72",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-10",,,"60","H,,S","70",",,S","48",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-11","0.16",",,S","56","H,,S","65",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-12","0.00",",,S","55","H,,S","69",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-13",,,"56","H,,S","70",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-14",,,"56","H,,S","71",",,S","46",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-15",,,"56","H,,S","72",",,S","44",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-16",,,"56","H,,S","73",",,S","46",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-17",,,"59","H,,S","76",",,S","45",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-18",,,"65","H,,S","80",",,S","47",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-19",,,"66","H,,S","79",",,S","55",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-20","0.47",",,S","64","H,,S","76",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-21","0.00",",,S","63","H,,S","77",",,S","51",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-22",,,"63","H,,S","77",",,S","51",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-23",,,"63","H,,S","79",",,S","51",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-24",,,"65","H,,S","79",",,S","52",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-25",,,"65","H,,S","79",",,S","54",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-26",,,"65","H,,S","78",",,S","54",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-27",,,"66","H,,S","79",",,S","54",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-28",,,"67","H,,S","80",",,S","55",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-02-29",,,"67","H,,S","81",",,S","57",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-01",,,"65","H,,S","80",",,S","56",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-02",,,"68","H,,S","82",",,S","56",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-03",,,"69","H,,S","85",",,S","58",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-04",,,"70","H,,S","85",",,S","57",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-05",,,"67","H,,S","78",",,S","61",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-06","0.79",",,S","67","H,,S","82",",,S","56",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-07","0.00",",,S","69","H,,S","81",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-08","0.00",",,S","68","H,,S","83",",,S","56",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-09",,,"67","H,,S","81",",,S","57",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-10",,,"70","H,,S","82",",,S","58",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-11","0.04",",,S","65","H,,S","76",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-12","0.98",",,S","60","H,,S",,,,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-13","1.89",",,S","58","H,,S","63",",,S","54",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-14","0.35",",,S","62","H,,S","76",",,S","55",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-15","0.51",",,S","65","H,,S","77",",,S","54",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-16","0.00",",,S","66","H,,S","76",",,S","52",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-17","0.03",",,S","62","H,,S",,,,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-18","0.28",",,S","72","H,,S","83",",,S","58",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-19","0.04",",,S","69","H,,S","83",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-20","0.01",",,S","68","H,,S","79",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-21","0.00",",,S","66","H,,S","80",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-22",,,"67","H,,S","81",",,S","49",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-23",,,"67","H,,S",,,,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-24",,,"72","H,,S","83",",,S","59",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-25","0.02",",,S","69","H,,S","77",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-26","0.08",",,S","70","H,,S","84",",,S","62",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-27","0.00",",,S","70","H,,S","83",",,S","58",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-28",,,"71","H,,S","85",",,S","59",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-29",,,"74","H,,S","86",",,S","60",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-30",,,"75","H,,S","89",",,S","62",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-03-31",,,"75","H,,S","88",",,S","65",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-01",,,"78","H,,S","88",",,S","63",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-02","0.00",",,S","82","H,,S","93",",,S","69",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-03",,,"80","H,,S","87",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-04",,,"78","H,,S","90",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-05",,,"75","H,,S","89",",,S","66",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-06",,,"69","H,,S","74",",,S","65",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-07",,,"75","H,,S","88",",,S","61",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-08",,,"76","H,,S","89",",,S","64",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-09","0.02",",,S","70","H,,S","79",",,S","64",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-10","0.04",",,S","75","H,,S","86",",,S","59",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-11","0.16",",,S","73","H,,S","87",",,S","62",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-12","0.00",",,S","76","H,,S","92",",,S","61",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-13",,,"78","H,,S","94",",,S","64",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-14",,,"81","H,,S","96",",,S","64",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-15",,,"82","H,,S","96",",,S","68",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-16",,,"86","H,,S","102",",,S","69",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-17",,,"84","H,,S","93",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-18",,,"86","H,,S","98",",,S","70",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-19",,,"78","H,,S","85",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-20",,,"81","H,,S","97",",,S","65",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-21",,,"83","H,,S","96",",,S","66",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-22","0.08",",,S","80","H,,S","93",",,S","66",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-23","0.00",",,S","80","H,,S","93",",,S","65",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-24","0.00",",,S","80","H,,S","93",",,S","67",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-25",,,"80","H,,S","97",",,S","65",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-26",,,"85","H,,S","100",",,S","69",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-27",,,"88","H,,S","100",",,S","72",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-28",,,"85","H,,S","99",",,S","71",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-29",,,"87","H,,S","101",",,S","71",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-04-30",,,"87","H,,S","103",",,S","71",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-01",,,"89","H,,S","106",",,S","72",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-02",,,"92","H,,S","108",",,S","74",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-03",,,"85","H,,S","93",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-04","0.04",",,S","79","H,,S","89",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-05","0.03",",,S","83","H,,S","95",",,S","68",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-06","0.00",",,S","83","H,,S","96",",,S","66",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-07",,,"86","H,,S","98",",,S","72",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-08",,,"91","H,,S","103",",,S","79",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-09",,,"91","H,,S","102",",,S","82",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-10",,,"90","H,,S","102",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-11","0.04",",,S","83","H,,S","94",",,S","73",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-12","0.00",",,S","87","H,,S","98",",,S","76",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-13",,,"89","H,,S","103",",,S","78",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-14",,,"90","H,,S","105",",,S","73",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-15",,,"88","H,,S","102",",,S","74",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-16",,,"91","H,,S","103",",,S","73",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-17",,,"93","H,,S","107",",,S","79",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-18",,,"93","H,,S","109",",,S","76",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-19",,,"94","H,,S","110",",,S","81",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-20",,,"95","H,,S","107",",,S","81",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-21","0.00",",,S","94","H,,S","107",",,S","81",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-22",,,"93","H,,S","105",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-23","0.00",",,S","86","H,,S","98",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-24","0.16",",,S","79","H,,S","91",",,S","69",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-25","0.00",",,S","85","H,,S","99",",,S","72",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-26",,,"86","H,,S",,,"73",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-27",,,"92","H,,S","107",",,S","77",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-28",,,"88","H,,S","106",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-29",,,"89","H,,S","99",",,S","72",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-30","0.01",",,S","85","H,,S","98",",,S","74",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-05-31","0.00",",,S","89","H,,S","101",",,S","73",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-01",,,"93","H,,S","106",",,S","79",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-02","0.00",",,S","93","H,,S","106",",,S","78",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-03",,,"93","H,,S","108",",,S","83",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-04",,,"95","H,,S","110",",,S","80",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-05",,,"93","H,,S","109",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-06",,,"94","H,,S","105",",,S","78",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-07",,,"92","H,,S","103",",,S","82",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-08",,,"91","H,,S","103",",,S","81",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-09","0.12",",,S","89","H,,S","101",",,S","76",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-10","0.00",",,S","86","H,,S","103",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-11","0.63",",,S","85","H,,S","98",",,S","77",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-12","0.00",",,S","91","H,,S","102",",,S","78",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-13",,,"92","H,,S","104",",,S","79",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-14",,,"94","H,,S","104",",,S","81",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-15",,,"87","H,,S","99",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-16",,,"89","H,,S","98",",,S","72",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-17",,,"88","H,,S","98",",,S","82",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-18",,,"90","H,,S","101",",,S","82",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-19",,,"92","H,,S","100",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-20","0.43",",,S","87","H,,S","96",",,S","74",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-21","2.80",",,S","81","H,,S","91",",,S","69",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-22","0.28",",,S","79","H,,S","91",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-23","0.55",",,S","86","H,,S","95",",,S","74",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-24","0.00",",,S","89","H,,S","99",",,S","78",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-25",,,"91","H,,S","101",",,S","82",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-26","0.24",",,S","87","H,,S","95",",,S","83",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-27","0.00",",,S","88","H,,S","96",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-28","0.00",",,S","87","H,,S","95",",,S","81",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-29",,,"90","H,,S","100",",,S","82",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-06-30",,,"93","H,,S","102",",,S","84",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-01",,,"85","H,,S","97",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-02",,,"81","H,,S","85",",,S","74",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-03","0.59",",,S","81","H,,S","89",",,S","76",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-04","0.01",",,S","85","H,,S","93",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-05","0.00",",,S","86","H,,S","97",",,S",,
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-06","1.18",",,S","84","H,,S","96",",,S","69",",,S"
"IN008040500","JAMMU, IN","32.667","74.833","367.0","2016-07-07","0.00",",,S","86","H,,S","94",",,S","80",",,S"
